"","mu1","mu2","mu3","sig11","sig21","sig22","sig31","sig32","sig33"
"TMVT",-0.37288774357261,0.633727151663159,0.376175735440431,0.240578290010705,0.00860565235970717,0.110460093616718,-0.0197967707315157,0.0257814052068695,0.252774544221844
"TMSL",-0.404755231162224,0.669237211070064,0.419855937599456,0.222087398104354,0.0117102600391564,0.0883145167171407,-0.0141633798542425,0.0194085087296832,0.227208013677421
"TMCN",-0.348356139888295,0.59904512093471,0.341280313979143,0.250335043543056,0.00281710870384627,0.127914637744882,-0.0332695302983421,0.0317973204852996,0.276064385827738
"TMVG",-0.36132604548723,0.6354916125848,0.35653806254887,0.242102972966852,0.0173667419808663,0.0991009903361322,-0.0113876653231554,0.0168103334571405,0.253229498207395
"TMDE",-0.336881415120027,0.604243593516345,0.324482153214869,0.254613980654803,0.0148793743927452,0.118972354440068,-0.0146564420620207,0.0212641242722298,0.268715825205885
